Gene ID,Gene,Colonies,Attemps,Percent,LB_22hr,MOPS_24hr,MOPS_48hr,,,,,,,
ECK1059,flgC,4,8,50.0 ,0.500 ,0.296 ,0.320 ,,,,,,,
ECK1060,flgD,8,8,100.0 ,0.441 ,0.204 ,0.390 ,,,,,,,
ECK1061,flgE,8,8,100.0 ,0.466 ,0.346 ,0.491 ,,,,,,,
ECK1062,flgF,3,8,37.5 ,0.513 ,0.372 ,0.448 ,,,,,,,
ECK1063,flgG,8,8,100.0 ,0.467 ,0.372 ,0.361 ,,,,,,,
ECK1064,flgH,4,8,50.0 ,0.409 ,0.274 ,0.283 ,,,,,,,
ECK1065,flgI,5,8,62.5 ,0.417 ,0.212 ,0.217 ,,,,,,,
ECK1066,flgJ,5,8,62.5 ,0.419 ,0.381 ,0.393 ,,,,,,,
ECK1067,flgK,8,8,100.0 ,0.501 ,0.269 ,0.343 ,,,,,,,
ECK1068,flgL,6,8,75.0 ,0.507 ,0.344 ,0.345 ,,,,,,,
ECK1069,rne,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1070,yceQ,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1071,rluC,3,8,37.5 ,0.749 ,0.263 ,0.293 ,,,,,,,
ECK1072,yceF,2,8,25.0 ,0.802 ,0.338 ,0.355 ,,,,,,,
ECK1074,yceD,7,8,87.5 ,0.744 ,0.286 ,0.196 ,,,,,,,
ECK1075,rpmF,7,8,87.5 ,0.421 ,0.326 ,0.334 ,,,,,,,
ECK1076,plsX,8,8,100.0 ,0.751 ,0.339 ,0.338 ,,,,,,,
ECK1077,fabH,7,8,87.5 ,0.352 ,0.548 ,0.860 ,,,,,,,
ECK1078,fabD,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1079,fabG,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1080,acpP,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1081,fabF,6,8,75.0 ,0.686 ,0.393 ,0.566 ,,,,,,,
ECK1082,pabC,2,8,25.0 ,0.751 ,0.175 ,0.115 ,,,,,,,
ECK1083,yceG,2,8,25.0 ,0.886 ,0.385 ,0.514 ,,,,,,,
ECK1084,tmk,0,8,0.0 ,N.A.,N.A.,N.A.,5'_overlap,,,,,,
ECK1085,holB,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1086,ycfH,8,8,100.0 ,0.865 ,0.283 ,0.297 ,,,,,,,
ECK1087,ptsG,4,8,50.0 ,0.744 ,0.348 ,0.622 ,,,,,,,
ECK1088,fhuE,4,4,100.0 ,0.722 ,0.284 ,0.322 ,,,,,,,
ECK1089,hinT,7,8,87.5 ,0.717 ,0.355 ,0.421 ,,,,,,,
ECK1090,ycfL,7,8,87.5 ,0.673 ,0.200 ,0.219 ,,,,,,,
ECK1091,ycfM,8,8,100.0 ,0.592 ,0.356 ,0.341 ,,,,,,,
ECK1092,ycfN,4,4,100.0 ,0.683 ,0.365 ,0.408 ,5'_overlap,,,,,,
ECK1093,nagZ,7,8,87.5 ,0.788 ,0.532 ,0.464 ,,,,,,,
ECK1094,ycfP,8,8,100.0 ,0.804 ,0.218 ,0.184 ,,,,,,,
ECK1095,ndh,5,8,62.5 ,0.779 ,0.301 ,0.302 ,,,,,,,
ECK1096,ycfJ,6,8,75.0 ,0.770 ,0.440 ,0.447 ,,,,,,,
ECK1097,ycfQ,2,8,25.0 ,0.738 ,0.310 ,0.316 ,,,,,,,
ECK1098,ycfR,8,8,100.0 ,0.815 ,0.312 ,0.322 ,,,,,,,
ECK1099,ycfS,4,8,50.0 ,0.625 ,0.314 ,0.419 ,,,,,,,
ECK1100,mfd,6,8,75.0 ,0.776 ,0.363 ,0.708 ,,,,,,,
ECK1101,ycfT,8,8,100.0 ,0.836 ,0.276 ,0.265 ,,,,,,,
ECK1102,lolC,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1103,lolD,0,8,0.0 ,N.A.,N.A.,N.A.,5'_overlap,,,,,,
ECK1104,lolE,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1105,ycfX,8,8,100.0 ,0.771 ,0.266 ,0.161 ,,,,,,,
ECK1106,cobB,7,8,87.5 ,0.803 ,0.225 ,0.206 ,3'_overlap,,,,,,
none,none,8,8,100.0 ,0.748 ,0.400 ,0.454 ,3'_overlap,,,,,,
ECK1107,ycfZ,6,8,75.0 ,0.641 ,0.236 ,0.599 ,,,,,,,
ECK1108,ymfA,8,8,100.0 ,0.757 ,0.408 ,0.463 ,,,,,,,
ECK1109,potD,8,8,100.0 ,0.819 ,0.362 ,0.520 ,,,,,,,
ECK1110,potC,8,8,100.0 ,0.559 ,0.258 ,0.340 ,,,,,,,
ECK1111,potB,8,8,100.0 ,0.860 ,0.401 ,0.455 ,,,,,,,
ECK1112,potA,8,8,100.0 ,0.854 ,0.311 ,0.339 ,,,,,,,
ECK1113,pepT,4,4,100.0 ,0.809 ,0.292 ,0.263 ,,,,,,,
ECK1114,ycfD,7,8,87.5 ,0.735 ,0.388 ,0.552 ,,,,,,,
ECK1115,phoQ,8,8,100.0 ,0.801 ,0.240 ,0.307 ,,,,,,,
ECK1116,phoP,8,8,100.0 ,0.865 ,0.299 ,0.322 ,,,,,,,
ECK1117,purB,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1118,hflD,6,8,75.0 ,0.303 ,0.004 ,0.048 ,,,,,,,
ECK1119,trmU,8,8,100.0 ,0.687 ,0.348 ,0.440 ,,,,,,,
ECK1120,ymfB,7,8,87.5 ,0.790 ,0.359 ,0.414 ,,,,,,,
ECK1121,ymfC,8,8,100.0 ,0.806 ,0.244 ,0.125 ,,,,,,,
ECK1122,icd,5,8,62.5 ,0.610 ,0.029 ,0.066 ,,,,,,,
ECK1123,ymfD,4,4,100.0 ,0.788 ,0.283 ,0.278 ,,,,,,,
ECK1124,ymfE,3,8,37.5 ,0.813 ,0.332 ,0.357 ,,,,,,,
none,none,2,8,25.0 ,0.849 ,0.338 ,0.432 ,,,,,,,
ECK1125,lit,4,4,100.0 ,0.891 ,0.315 ,0.315 ,,,,,,,
ECK1126,intE,8,8,100.0 ,0.708 ,0.329 ,0.181 ,5'_overlap,,,,,,
ECK1127,ymfG,7,8,87.5 ,0.688 ,0.314 ,0.349 ,,,,,,,
ECK1128,ymfH,4,4,100.0 ,0.832 ,0.311 ,0.349 ,,,,,,,
ECK1129,ymfI,7,8,87.5 ,0.801 ,0.280 ,0.299 ,3'_overlap,,,,,,
ECK1130,ymfJ,3,4,75.0 ,0.768 ,0.357 ,0.415 ,3'_overlap,,,,,,
ECK1131,ymfK,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1132,ymfT,8,8,100.0 ,0.822 ,0.359 ,0.365 ,,,,,,,
ECK1133,ymfL,4,8,50.0 ,0.767 ,0.258 ,0.308 ,,,,,,,
ECK1134,ymfM,8,8,100.0 ,0.829 ,0.363 ,0.416 ,,,,,,,
ECK1135,ymfN,8,8,100.0 ,0.795 ,0.422 ,0.503 ,,,,,,,
ECK1136,ymfR,8,8,100.0 ,0.753 ,0.200 ,0.244 ,,,,,,,
ECK1137,ymfO,8,8,100.0 ,0.722 ,0.366 ,0.413 ,,,,,,,
ECK1138,ymfP,7,8,87.5 ,0.788 ,0.257 ,0.218 ,,,,,,,
ECK1139,ymfQ,8,8,100.0 ,0.764 ,0.339 ,0.379 ,5'_overlap,,,,,,
ECK1140,ycfK,2,8,25.0 ,0.763 ,0.359 ,0.356 ,,,,,,,
ECK1141,ymfS,8,8,100.0 ,0.830 ,0.311 ,0.348 ,3'_overlap,,,,,,
ECK1142,tfaE,2,8,25.0 ,0.772 ,0.389 ,0.404 ,3'_overlap,,,,,,
ECK1143,stfE,8,8,100.0 ,0.815 ,0.256 ,0.208 ,,,,,,,
ECK1144,pin,5,8,62.5 ,0.752 ,0.333 ,0.381 ,,,,,,,
ECK1145,mcrA,8,8,100.0 ,0.787 ,0.390 ,0.405 ,,,,,,,
ECK1146,icdC,7,8,87.5 ,0.786 ,0.195 ,0.188 ,,,,,,,
ECK1147,elbA,4,4,100.0 ,0.409 ,0.299 ,0.330 ,,,,,,,
ECK1148,ycgX,4,4,100.0 ,0.611 ,0.294 ,0.278 ,,,,,,,
ECK1149,ycgE,6,8,75.0 ,0.791 ,0.332 ,0.339 ,,,,,,,
ECK1150,ycgF,8,8,100.0 ,0.767 ,0.322 ,0.331 ,,,,,,,
ECK1151,ycgZ,2,4,50.0 ,0.773 ,0.330 ,0.361 ,,,,,,,
ECK1152,ymgA,4,4,100.0 ,0.810 ,0.166 ,0.211 ,,,,,,,
ECK1153,ymgB,3,4,75.0 ,0.670 ,0.237 ,0.256 ,,,,,,,
ECK1154,ymgC,3,8,37.5 ,0.761 ,0.281 ,0.333 ,,,,,,,
ECK1155,ycgG,8,8,100.0 ,0.780 ,0.331 ,0.362 ,,,,,,,
ECK1156,ymgF,4,4,100.0 ,0.796 ,0.253 ,0.268 ,,,,,,,
ECK1157,ycgH,2,8,25.0 ,0.794 ,0.316 ,0.378 ,,,,,,,
ECK1157,ycgH,3,8,37.5 ,0.801 ,0.306 ,0.209 ,,,,,,,
ECK1158,ymgD,2,8,25.0 ,0.718 ,0.297 ,0.324 ,,,,,,,
ECK1159,ymgG,8,8,100.0 ,0.753 ,0.315 ,0.366 ,,,,,,,
ECK1160,ymgH,4,8,50.0 ,0.642 ,0.284 ,0.443 ,,,,,,,
ECK1161,ycgI,3,4,75.0 ,0.838 ,0.160 ,0.180 ,,,,,,,
ECK1162,minE,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1163,minD,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1164,minC,4,8,50.0 ,0.747 ,0.364 ,0.491 ,,,,,,,
ECK1165,ycgJ,8,8,100.0 ,0.779 ,0.333 ,0.424 ,,,,,,,
ECK1166,ycgK,4,8,50.0 ,0.802 ,0.346 ,0.357 ,,,,,,,
ECK1167,ycgL,6,8,75.0 ,0.787 ,0.340 ,0.395 ,,,,,,,
ECK1168,ycgM,6,8,75.0 ,0.786 ,0.259 ,0.312 ,,,,,,,
ECK1169,ycgN,2,8,25.0 ,0.768 ,0.429 ,0.464 ,,,,,,,
ECK1170,hlyE,8,8,100.0 ,0.765 ,0.285 ,0.328 ,,,,,,,
ECK1171,umuD,2,4,50.0 ,0.749 ,0.170 ,0.223 ,,,,,,,
ECK1172,umuC,8,8,100.0 ,0.754 ,0.487 ,0.786 ,,,,,,,
ECK1173,dsbB,2,8,25.0 ,0.356 ,0.506 ,0.501 ,,,,,,,
ECK1174,nhaB,8,8,100.0 ,0.812 ,0.318 ,0.345 ,,,,,,,
ECK1175,fadR,4,4,100.0 ,0.916 ,0.372 ,0.356 ,,,,,,,
ECK1176,ycgB,5,8,62.5 ,0.690 ,0.328 ,0.390 ,,,,,,,
ECK1177,dadA,8,8,100.0 ,0.688 ,0.262 ,0.331 ,,,,,,,
ECK1178,dadX,6,8,75.0 ,0.732 ,0.382 ,0.469 ,,,,,,,
none,none,3,8,37.5 ,0.791 ,0.366 ,0.513 ,,,,,,,
ECK1179,cvrA,5,8,62.5 ,0.716 ,0.317 ,0.302 ,,,,,,,
ECK1180,ldcA,4,4,100.0 ,0.637 ,0.129 ,0.177 ,,,,,,,
ECK1181,emtA,8,8,100.0 ,0.757 ,0.354 ,0.366 ,,,,,,,
ECK1182,ycgR,2,8,25.0 ,0.842 ,0.344 ,0.374 ,,,,,,,
ECK1183,ymgE,7,8,87.5 ,0.729 ,0.200 ,0.122 ,,,,,,,
ECK1184,ycgY,4,4,100.0 ,0.800 ,0.365 ,0.362 ,,,,,,,
ECK1185,treA,7,8,87.5 ,0.870 ,0.387 ,0.404 ,,,,,,,
ECK1186,dhaH,5,8,62.5 ,0.819 ,0.475 ,0.510 ,,,,,,,
ECK1187,dhaL,7,8,87.5 ,0.750 ,0.373 ,0.548 ,,,,,,,
ECK1188,dhaK,3,8,37.5 ,0.804 ,0.220 ,0.237 ,,,,,,,
ECK1189,dhaR,4,8,50.0 ,0.781 ,0.350 ,0.373 ,,,,,,,
ECK1190,ycgV,6,8,75.0 ,0.720 ,0.287 ,0.295 ,,,,,,,
ECK1191,ychF,8,8,100.0 ,0.692 ,0.253 ,0.119 ,,,,,,,
ECK1192,pth,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1193,ychH,8,8,100.0 ,0.770 ,0.338 ,0.356 ,,,,,,,
ECK1194,ychM,6,8,75.0 ,0.725 ,0.231 ,0.345 ,,,,,,,
ECK1195,prsA,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1196,ispE,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1197,lolB,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1198,hemA,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1199,prfA,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1200,prmC,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1201,ychQ,6,8,75.0 ,0.764 ,0.323 ,0.338 ,,,,,,,
ECK1202,ychA,8,8,100.0 ,0.671 ,0.230 ,0.310 ,,,,,,,
ECK1203,kdsA,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1204,ldrA,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,not targeted (ldr ORF),,,,,,
ECK1206,ldrB,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,not targeted (ldr ORF),,,,,,
ECK1208,ldrC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,not targeted (ldr ORF),,,,,,
ECK1210,chaA,5,8,62.5 ,0.627 ,0.309 ,0.342 ,,,,,,,
ECK1211,chaB,8,8,100.0 ,0.790 ,0.258 ,0.264 ,,,,,,,
ECK1212,chaC,6,8,75.0 ,0.940 ,0.314 ,0.364 ,,,,,,,
ECK1213,ychN,4,8,50.0 ,0.835 ,0.269 ,0.278 ,,,,,,,
ECK1214,ychP,7,8,87.5 ,0.841 ,0.348 ,0.349 ,,,,,,,
ECK1215,narL,8,8,100.0 ,0.771 ,0.375 ,0.452 ,5'_overlap,,,,,,
ECK1216,narX,8,8,100.0 ,0.863 ,0.403 ,0.453 ,,,,,,,
none,none,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1217,narK,6,8,75.0 ,0.764 ,0.394 ,0.454 ,,,,,,,
ECK1218,narG,8,8,100.0 ,0.774 ,0.244 ,0.324 ,,,,,,,
ECK1219,narH,7,8,87.5 ,0.765 ,0.318 ,0.228 ,,,,,,,
ECK1220,narJ,6,8,75.0 ,0.591 ,0.306 ,0.337 ,,,,,,,
ECK1221,narI,8,8,100.0 ,0.736 ,0.172 ,0.171 ,,,,,,,
none,none,4,8,50.0 ,0.656 ,0.218 ,0.228 ,3'_overlap,,,,,,
ECK1224,tpr,2,8,25.0 ,0.732 ,0.290 ,0.315 ,3'_overlap,,,,,,
ECK1227,purU,2,8,25.0 ,0.745 ,0.460 ,0.478 ,,,,,,,
ECK1228,ychJ,6,8,75.0 ,0.793 ,0.330 ,0.308 ,,,,,,,
ECK1229,rssA,5,8,62.5 ,0.705 ,0.228 ,0.182 ,,,,,,,
ECK1230,rssB,8,8,100.0 ,0.829 ,0.281 ,0.279 ,,,,,,,
ECK1231,galU,8,8,100.0 ,0.476 ,0.221 ,0.270 ,,,,,,,
ECK1232,hns,2,4,50.0 ,0.507 ,0.182 ,0.387 ,,,,,,,
ECK1233,tdk,8,8,100.0 ,0.822 ,0.209 ,0.174 ,,,,,,,
ECK1234,ychG,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,not targeted (IS ORF),,,,,,
ECK1235,adhE,7,8,87.5 ,0.483 ,0.468 ,0.563 ,,,,,,,
ECK1236,ychE,4,8,50.0 ,0.820 ,0.393 ,0.410 ,,,,,,,
ECK0357,insC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,not targeted (IS ORF),,,,,,
ECK0358,insD,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,not targeted (IS ORF),,,,,,
none,none,0,8,0.0 ,N.A.,N.A.,N.A.,Primer was designed for W3110 sequence.,,,,,,
ECK1237,oppA,8,8,100.0 ,0.845 ,0.313 ,0.329 ,,,,,,,
ECK1238,oppB,8,8,100.0 ,0.710 ,0.352 ,0.375 ,,,,,,,
ECK1239,oppC,8,8,100.0 ,0.740 ,0.383 ,0.460 ,,,,,,,
ECK1240,oppD,8,8,100.0 ,0.671 ,0.419 ,0.491 ,,,,,,,
ECK1241,oppF,6,8,75.0 ,0.776 ,0.258 ,0.308 ,,,,,,,
ECK1242,yciU,8,8,100.0 ,0.677 ,0.228 ,0.275 ,,,,,,,
ECK1243,cls,4,4,100.0 ,0.731 ,0.267 ,0.251 ,,,,,,,
none,none,3,8,37.5 ,0.797 ,0.352 ,0.354 ,,,,,,,
ECK1244,kch,7,8,87.5 ,0.746 ,0.270 ,0.255 ,,,,,,,
ECK1245,yciI,7,8,87.5 ,0.686 ,0.351 ,0.342 ,,,,,,,
ECK1246,tonB,8,8,100.0 ,0.841 ,0.232 ,0.229 ,,,,,,,
ECK1247,yciA,7,8,87.5 ,0.940 ,0.321 ,0.335 ,,,,,,,
ECK1248,yciB,2,8,25.0 ,0.610 ,0.320 ,0.330 ,,,,,,,
ECK1249,yciC,4,8,50.0 ,0.786 ,0.414 ,0.467 ,,,,,,,
ECK1250,ompW,8,8,100.0 ,0.558 ,0.259 ,0.244 ,,,,,,,
ECK1251,yciE,4,8,50.0 ,0.846 ,0.287 ,0.316 ,,,,,,,
ECK1252,yciF,8,8,100.0 ,0.800 ,0.237 ,0.179 ,,,,,,,
ECK1253,yciG,8,8,100.0 ,0.498 ,0.341 ,0.340 ,,,,,,,
ECK1254,trpA,8,8,100.0 ,0.604 ,0.008 ,0.013 ,,,,,,,
ECK1255,trpB,8,8,100.0 ,0.454 ,0.008 ,0.023 ,,,,,,,
ECK1256,trpC,5,8,62.5 ,0.677 ,0.005 ,0.029 ,,,,,,,
ECK1257,trpD,5,8,62.5 ,0.763 ,0.030 ,0.039 ,,,,,,,
ECK1258,trpE,8,8,100.0 ,0.894 ,0.020 ,0.037 ,,,,,,,
ECK1259,trpL,8,8,100.0 ,0.690 ,0.335 ,0.274 ,,,,,,,
ECK1260,yciV,8,8,100.0 ,0.717 ,0.273 ,0.203 ,,,,,,,
ECK1261,yciO,2,8,25.0 ,0.756 ,0.285 ,0.331 ,,,,,,,
ECK1262,yciQ,2,8,25.0 ,0.805 ,0.366 ,0.447 ,,,,,,,
ECK1263,rluB,5,8,62.5 ,0.718 ,0.274 ,0.213 ,,,,,,,
ECK1264,btuR,4,4,100.0 ,0.856 ,0.358 ,0.399 ,,,,,,,
ECK1265,yciK,7,8,87.5 ,0.737 ,0.217 ,0.244 ,,,,,,,
ECK1266,sohB,3,4,75.0 ,0.669 ,0.227 ,0.241 ,,,,,,,
ECK1267,yciN,8,8,100.0 ,0.815 ,0.301 ,0.356 ,,,,,,,
ECK1268,topA,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1269,cysB,3,8,37.5 ,0.655 ,0.006 ,0.007 ,,,,,,,
ECK1270,yciX,5,8,62.5 ,0.692 ,0.300 ,0.412 ,,,,,,,
ECK1270,yciX,2,8,25.0 ,0.578 ,0.405 ,0.512 ,5'_overlap,,,,,,
ECK1271,acnA,6,8,75.0 ,0.821 ,0.272 ,0.336 ,,,,,,,
ECK1272,ribA,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1273,pgpB,4,4,100.0 ,0.791 ,0.269 ,0.293 ,,,,,,,
ECK1274,yciS,8,8,100.0 ,0.607 ,0.263 ,0.193 ,,,,,,,
ECK1275,yciM,2,8,25.0 ,0.418 ,0.217 ,0.262 ,,,,,,,
ECK1276,pyrF,8,8,100.0 ,0.563 ,0.008 ,0.022 ,,,,,,,
ECK1277,yciH,7,8,87.5 ,0.706 ,0.226 ,0.237 ,,,,,,,
ECK1278,osmB,8,8,100.0 ,0.555 ,0.296 ,0.219 ,,,,,,,
ECK1279,yciT,8,8,100.0 ,0.751 ,0.307 ,0.312 ,,,,,,,
ECK1280,gmr,8,8,100.0 ,0.948 ,0.330 ,0.386 ,,,,,,,
ECK1281,rnb,4,4,100.0 ,0.681 ,0.167 ,0.242 ,,,,,,,
ECK1282,yciW,2,8,25.0 ,0.782 ,0.363 ,0.425 ,,,,,,,
ECK1283,fabI,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1284,ycjD,8,8,100.0 ,0.680 ,0.349 ,0.512 ,,,,,,,
ECK1285,sapF,8,8,100.0 ,0.590 ,0.305 ,0.407 ,,,,,,,
ECK1286,sapD,8,8,100.0 ,0.586 ,0.319 ,0.347 ,,,,,,,
ECK1287,sapC,4,8,50.0 ,0.695 ,0.226 ,0.244 ,5'_overlap,,,,,,
ECK1288,sapB,7,8,87.5 ,0.758 ,0.247 ,0.260 ,,,,,,,
ECK1289,sapA,7,8,87.5 ,0.826 ,0.378 ,0.409 ,,,,,,,
ECK1290,ymjA,7,8,87.5 ,0.780 ,0.389 ,0.423 ,,,,,,,
ECK1291,puuP,7,8,87.5 ,0.827 ,0.420 ,0.404 ,,,,,,,
ECK1292,puuA,8,8,100.0 ,0.797 ,0.321 ,0.383 ,,,,,,,
ECK1293,puuD,7,8,87.5 ,0.774 ,0.431 ,0.476 ,,,,,,,
ECK1294,puuR,6,8,75.0 ,0.753 ,0.407 ,0.459 ,,,,,,,
ECK1295,puuC,8,8,100.0 ,0.699 ,0.238 ,0.428 ,,,,,,,
ECK1296,puuB,4,8,50.0 ,0.609 ,0.266 ,0.677 ,,,,,,,
ECK1297,puuE,8,8,100.0 ,0.830 ,0.391 ,0.590 ,,,,,,,
ECK1298,pspF,4,8,50.0 ,0.756 ,0.276 ,0.208 ,,,,,,,
ECK1299,pspA,8,8,100.0 ,0.727 ,0.284 ,0.362 ,,,,,,,
ECK1300,pspB,8,8,100.0 ,0.721 ,0.254 ,0.117 ,,,,,,,
ECK1301,pspC,7,8,87.5 ,0.691 ,0.288 ,0.329 ,,,,,,,
ECK1302,pspD,8,8,100.0 ,0.681 ,0.307 ,0.434 ,,,,,,,
ECK1303,pspE,5,8,62.5 ,0.685 ,0.297 ,0.309 ,,,,,,,
ECK1304,ycjM,8,8,100.0 ,0.766 ,0.374 ,0.496 ,,,,,,,
ECK1305,ycjN,8,8,100.0 ,0.766 ,0.289 ,0.321 ,,,,,,,
ECK1306,ycjO,8,8,100.0 ,0.695 ,0.297 ,0.353 ,,,,,,,
ECK1307,ycjP,7,8,87.5 ,0.708 ,0.330 ,0.392 ,5'_overlap,,,,,,
ECK1308,ycjQ,4,8,50.0 ,0.799 ,0.327 ,0.452 ,,,,,,,
ECK1309,ycjR,8,8,100.0 ,0.809 ,0.232 ,0.239 ,,,,,,,
ECK1310,ycjS,7,8,87.5 ,0.723 ,0.233 ,0.228 ,,,,,,,
ECK1311,ycjT,7,8,87.5 ,0.678 ,0.376 ,0.437 ,,,,,,,
ECK1312,ycjU,6,8,75.0 ,0.601 ,0.396 ,0.400 ,,,,,,,
ECK1313,ycjV,8,8,100.0 ,0.681 ,0.339 ,0.355 ,,,,,,,
ECK1314,ymjB,5,8,62.5 ,0.810 ,0.330 ,0.366 ,,,,,,,
ECK1315,ompG,7,8,87.5 ,0.737 ,0.269 ,0.266 ,,,,,,,
ECK1316,ycjW,8,8,100.0 ,0.727 ,0.300 ,0.313 ,,,,,,,
ECK1317,ycjX,7,8,87.5 ,0.765 ,0.367 ,0.261 ,,,,,,,
ECK1318,ycjF,8,8,100.0 ,0.910 ,0.328 ,0.366 ,,,,,,,
ECK1319,tyrR,4,4,100.0 ,0.801 ,0.248 ,0.261 ,,,,,,,
ECK1320,tpx,4,4,100.0 ,0.675 ,0.183 ,0.167 ,,,,,,,
ECK1321,ycjG,8,8,100.0 ,0.771 ,0.268 ,0.283 ,3'_overlap,,,,,,
ECK1322,mpaA,7,8,87.5 ,0.693 ,0.314 ,0.366 ,3'_overlap,,,,,,
ECK1323,ymjC,7,8,87.5 ,0.782 ,0.311 ,0.355 ,,,,,,,
ECK1324,ycjY,7,8,87.5 ,0.856 ,0.306 ,0.460 ,,,,,,,
ECK1325,ycjZ,8,8,100.0 ,0.720 ,0.255 ,0.292 ,,,,,,,
ECK1326,mppA,8,8,100.0 ,0.751 ,0.373 ,0.376 ,,,,,,,
ECK1327,ynaI,6,8,75.0 ,0.777 ,0.292 ,0.317 ,,,,,,,
ECK0261,insH,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,not targeted (IS ORF),,,,,,
ECK1328,ynaJ,7,8,87.5 ,0.868 ,0.488 ,0.567 ,,,,,,,
ECK1329,uspE,8,8,100.0 ,0.767 ,0.335 ,0.245 ,,,,,,,
ECK1330,fnr,3,4,75.0 ,0.809 ,0.274 ,0.388 ,,,,,,,
ECK1331,ogt,3,4,75.0 ,0.629 ,0.342 ,0.412 ,,,,,,,
ECK1332,abgT,8,8,100.0 ,0.799 ,0.339 ,0.308 ,,,,,,,
ECK1333,abgB,7,8,87.5 ,0.732 ,0.221 ,0.273 ,,,,,,,
ECK1334,abgA,4,8,50.0 ,0.793 ,0.266 ,0.308 ,,,,,,,
ECK1335,abgR,8,8,100.0 ,0.799 ,0.290 ,0.592 ,,,,,,,
ECK1337,ydaL,8,8,100.0 ,0.829 ,0.444 ,0.495 ,,,,,,,
ECK1338,ydaM,7,8,87.5 ,0.789 ,0.279 ,0.284 ,,,,,,,
ECK1339,ydaN,5,8,62.5 ,0.807 ,0.297 ,0.497 ,,,,,,,
ECK1340,dbpA,5,8,62.5 ,0.861 ,0.278 ,0.346 ,,,,,,,
ECK1341,ydaO,7,8,87.5 ,0.793 ,0.417 ,0.461 ,,,,,,,
ECK1342,intR,8,8,100.0 ,0.801 ,0.246 ,0.153 ,,,,,,,
ECK1343,ydaQ,8,8,100.0 ,0.748 ,0.247 ,0.423 ,,,,,,,
ECK1344,ydaC,8,8,100.0 ,0.789 ,0.428 ,0.532 ,5'_overlap,,,,,,
ECK1345,lar,8,8,100.0 ,0.775 ,0.180 ,0.243 ,,,,,,,
ECK1346,recT,6,8,75.0 ,0.766 ,0.302 ,0.329 ,5'_overlap,,,,,,
ECK1347,recE,8,8,100.0 ,0.782 ,0.296 ,0.343 ,,,,,,,
ECK1348,racC,4,8,50.0 ,0.585 ,0.379 ,0.354 ,,,,,,,
ECK1349,ydaE,8,8,100.0 ,0.837 ,0.335 ,0.420 ,,,,,,,
ECK1350,kil,7,8,87.5 ,0.690 ,0.267 ,0.499 ,,,,,,,
ECK1351,sieB,8,8,100.0 ,0.736 ,0.342 ,0.372 ,,,,,,,
ECK1352,ydaF,7,8,87.5 ,0.839 ,0.289 ,0.326 ,,,,,,,
ECK1353,ydaG,8,8,100.0 ,0.798 ,0.280 ,0.319 ,,,,,,,
ECK1354,racR,0,8,0.0 ,N.A.,N.A.,N.A.,,,,,,,
ECK1355,ydaS,4,4,100.0 ,0.450 ,0.211 ,0.189 ,,,,,,,
ECK1356,ydaT,8,8,100.0 ,0.811 ,0.160 ,0.189 ,,,,,,,
ECK1357,ydaU,8,8,100.0 ,0.752 ,0.243 ,0.347 ,,,,,,,
ECK1358,ydaV,7,8,87.5 ,0.671 ,0.418 ,0.476 ,,,,,,,
ECK1359,ydaW,8,8,100.0 ,0.760 ,0.294 ,0.279 ,,,,,,,
ECK1360,rzpR,2,8,25.0 ,0.774 ,0.414 ,0.482 ,3'_overlap,,,,,,
